,train_acc,train_loss,val_acc,val_loss
0,1.0,0.5308507680892944,0.9129999876022339,0.8735443353652954
1,1.0,0.3650455176830292,0.906000018119812,0.7917875051498413
2,1.0,0.2951732873916626,0.8980000019073486,0.7400408983230591
3,1.0,0.23072116076946259,0.8960000276565552,0.6935189962387085
4,1.0,0.23243437707424164,0.8960000276565552,0.6566556692123413
5,1.0,0.2560396194458008,0.8939999938011169,0.6176285743713379
6,1.0,0.15640923380851746,0.9010000228881836,0.5864465236663818
7,1.0,0.17673075199127197,0.9010000228881836,0.5604702234268188
8,1.0,0.1421518176794052,0.9010000228881836,0.5337367653846741
9,0.96875,0.15967004001140594,0.9020000100135803,0.5159244537353516
10,1.0,0.11301148682832718,0.9039999842643738,0.49729621410369873
11,1.0,0.09726607799530029,0.9020000100135803,0.47995632886886597
12,1.0,0.096895232796669,0.902999997138977,0.46539464592933655
13,1.0,0.04941631481051445,0.9039999842643738,0.45329561829566956
14,1.0,0.05800572782754898,0.902999997138977,0.441589891910553
