epoch,train_loss,train_acc,val_loss,val_acc
0,0.7485337257385254,0.9375,0.765760064125061,0.8892999887466431
1,0.8847708106040955,0.875,0.6240853667259216,0.9106000065803528
2,0.4827529788017273,1.0,0.5442931652069092,0.9229000210762024
3,0.3887031078338623,1.0,0.48025429248809814,0.9311000108718872
4,0.46109530329704285,0.9375,0.4327268898487091,0.9319999814033508
5,0.4389183819293976,0.9375,0.396178275346756,0.9380000233650208
6,0.35838019847869873,0.96875,0.36763250827789307,0.9379000067710876
7,0.6332363486289978,0.8125,0.342984139919281,0.940500020980835
8,0.31058794260025024,1.0,0.3226194977760315,0.9417999982833862
9,0.3420982360839844,0.96875,0.3077144920825958,0.942300021648407
